3,,,nR,Result,Parent 1,Parent 2
4,,,85,Relaxaurus Lux,,85,Relaxaurus,,7,Sparkit,,Frostallion
5,,,40,Incineram Noct,,40,Incineram,,66,Maraith,,Jetragon
6,,,24,Mau Cryst,,24,Mau,,10,Pengullet,,Paladius
7,,,71,Vanwyrm Cryst,,71,Vanwyrm,,57,Foxcicle,,Necromus
8,,,37,Eikthyrdeer Terra,,37,Eikthyrdeer,,32,Hangyu,,Jormuntide Ignis
9,,,80,Elphidran Aqua,,80,Elphidran,,65,Surfent,,
10,,,58,Pyrin Noct,,58,Pyrin,,75,Katress,,
11,,,90,Mammorest Cryst,,90,Mammorest,,91,Wumpo,,
12,,,33,Mossanda Lux,,33,Mossanda,,103,Grizzbolt,,
13,,,64,Dinossom Lux,,64,Dinossom,,60,Rayhound,,
14,,,12,Jolthog Cryst,,12,Jolthog,,10,Pengullet,,
15,,,110,Frostallion Noct,,110,Frostallion,,97,Helzephyr,,
16,,,89,Ice Kingpaca,,89,Kingpaca,,59,Reindrix,,
17,,,104,Lyleen Noct,,104,Lyleen,,99,Menasting,,
18,,,45,Leezpunk Ignis,,45,Leezpunk,,70,Flambelle,,
19,,,84,Blazehowl Noct,,84,Blazehowl,,94,Felbat,,
20,,,48,Robinquill Terra,,48,Robinquill,,22,Fuddler,,
21,,,86,Broncherry Aqua,,86,Broncherry,,6,Fuack,,
22,,,65,Surfent Terra,,65,Surfent,,43,Dumud,,
23,,,31,Gobfin Ignis,,31,Gobfin,,9,Rooby,,
24,,,102,Suzaku Aqua,,102,Suzaku,,101,Jormuntide,,
25,,,88,Ice Reptyro,,88,Reptyro,,57,Foxcicle,,
26,,,32,Hangyu Cryst,,32,Hangyu,,53,Swee,,
27,,,104,Lyleen,,33,Mossanda,,87,Petallia,,
28,,,105,Faleris,,71,Vanwyrm,,100,Anubis,,
29,,,103,Grizzbolt,,33,Mossanda,,60,Rayhound,,
30,,,106,Orserk,,103,Grizzbolt,,85,Relaxaurus,,
31,,,107,Shadowbeak,,61,Kitsun,,98,Astegon,,
